leak_size,leak_location,length,pressure,flow_rate
1,336,1232,172375.2762,4176.81
2,336,0,173094.5502,4219
2,336,616,172730.8623,4134.62
2,336,1232,172375.174,4134.62
5,336,0,173063.0594,4219
5,336,616,172709.1185,4008.05
5,336,1232,172374.8737,4008.05
8,336,0,173032.5475,4219
8,336,616,172688.0507,3881.48
8,336,1232,172374.5828,3881.48
10,336,0,173012.7502,4219
10,336,616,172674.381,3797.1
10,336,1232,172374.394,3797.1
15,336,0,172965.1604,4219
15,336,616,172641.5212,3586.15
15,336,1232,172373.9403,3586.15
18,336,0,172937.9119,4219
18,336,616,172622.7067,3459.58
18,336,1232,172373.6804,3459.58
20,336,0,172920.29,4219
20,336,616,172610.5392,3375.2
20,336,1232,172373.5124,3375.2
25,336,0,172878.1391,4219
25,336,616,172581.4348,3164.25
25,336,1232,172373.1105,3164.25
28,336,0,172854.1538,4219
28,336,616,172564.8735,3037.68
28,336,1232,172372.8818,3037.68
30,336,0,172838.7076,4219
30,336,616,172554.2081,2953.3
30,336,1232,172372.7345,2953.3
1,386,0,173105.8629,4219
1,386,616,172738.2604,4176.81
1,386,1232,172375.2762,4176.81
2,386,0,173095.7406,4219
2,386,616,172730.8623,4134.62
2,386,1232,172375.174,4134.62
5,386,0,173065.9903,4219
5,386,616,172709.1185,4008.05
5,386,1232,172374.8737,4008.05
8,386,0,173037.1649,4219
8,386,616,172688.0507,3881.48
8,386,1232,172374.5828,3881.48
10,386,0,173018.4618,4219
10,386,616,172674.381,3797.1
10,386,1232,172374.394,3797.1
15,386,0,172973.5024,4219
15,386,616,172641.5212,3586.15
15,386,1232,172373.9403,3586.15
18,386,0,172947.7599,4219
18,386,616,172622.7067,3459.58
18,386,1232,172373.6804,3459.58
20,386,0,172931.1121,4219
20,386,616,172610.5392,3375.2
20,386,1232,172373.5124,3375.2
25,386,0,172891.2909,4219
25,386,616,172581.4348,3164.25
25,386,1232,172373.1105,3164.25
28,386,0,172868.6313,4219
28,386,616,172564.8735,3037.68
28,386,1232,172372.8818,3037.68
30,386,0,172854.0388,4219
30,386,616,172554.2081,2953.3
30,386,1232,172372.7345,2953.3
1,448,0,173106.6047,4219
1,448,616,172738.2604,4176.81
1,448,1232,172375.2762,4176.81
2,448,0,173097.2168,4219
2,448,616,172730.8623,4134.62
2,448,1232,172375.174,4134.62
5,448,0,173069.6247,4219
5,448,616,172709.1185,4008.05
5,448,1232,172374.8737,4008.05
8,448,0,173042.8905,4219
8,448,616,172688.0507,3881.48
8,448,1232,172374.5828,3881.48
10,448,0,173025.5442,4219
10,448,616,172674.381,3797.1
10,448,1232,172374.394,3797.1
15,448,0,172983.8465,4219
15,448,616,172641.5212,3586.15
15,448,1232,172373.9403,3586.15
18,448,0,172959.9715,4219
18,448,616,172622.7067,3459.58
18,448,1232,172373.6804,3459.58
20,448,0,172944.5314,4219
20,448,616,172610.5392,3375.2
20,448,1232,172373.5124,3375.2
25,448,0,172907.5991,4219
25,448,616,172581.4348,3164.25
25,448,1232,172373.1105,3164.25
28,448,0,172886.5834,4219
28,448,616,172564.8735,3037.68
28,448,1232,172372.8818,3037.68
30,448,0,172873.0495,4219
30,448,616,172554.2081,2953.3
30,448,1232,172372.7345,2953.3
1,498,0,173107.2029,4219
1,498,616,172738.2604,4176.81
1,498,1232,172375.2762,4176.81
2,498,0,173098.4072,4219
2,498,616,172730.8623,4134.62
2,498,1232,172375.174,4134.62
5,498,0,173072.5557,4219
5,498,616,172709.1185,4008.05
5,498,1232,172374.8737,4008.05
8,498,0,173047.5079,4219
8,498,616,172688.0507,3881.48
8,498,1232,172374.5828,3881.48
10,498,0,173031.2559,4219
10,498,616,172674.381,3797.1
10,498,1232,172374.394,3797.1
15,498,0,172992.1884,4219
15,498,616,172641.5212,3586.15
15,498,1232,172373.9403,3586.15
18,498,0,172969.8196,4219
18,498,616,172622.7067,3459.58
18,498,1232,172373.6804,3459.58
20,498,0,172955.3535,4219
20,498,616,172610.5392,3375.2
20,498,1232,172373.5124,3375.2
25,498,0,172920.7509,4219
25,498,616,172581.4348,3164.25
25,498,1232,172373.1105,3164.25
28,498,0,172901.0609,4219
28,498,616,172564.8735,3037.68
28,498,1232,172372.8818,3037.68
30,498,0,172888.3807,4219
30,498,616,172554.2081,2953.3
30,498,1232,172372.7345,2953.3
1,560,0,173107.9447,4219
1,560,616,172738.2604,4176.81
1,560,1232,172375.2762,4176.81
2,560,0,173099.8833,4219
2,560,616,172730.8623,4134.62
2,560,1232,172375.174,4134.62
5,560,0,173076.1901,4219
5,560,616,172709.1185,4008.05
5,560,1232,172374.8737,4008.05
8,560,0,173053.2335,4219
8,560,616,172688.0507,3881.48
